,artist,song
0,East Flows The River,The Souljazz Orchestra
1,"Loud, Loud, Loud",Aphrodite's Child
2,Fruit Stand,Onyx Collective
3,Javelin Unlanding,Bill Callahan
4,Oh Where,Kronos Quartet
5,Little Giant,Roo Panes
6,Coconut Grove - 2003 Remaster,The Lovin' Spoonful
7,Omens And Portents 1: The Driver,Earth
8,Contracts,Archie Shepp
9,Sömestr,Ayyuka
10,The State We're In,The Chemical Brothers
11,Blue Murder - 2005 Digital Remaster,Alan Hull
12,"And, Goodnight",Ty Segall
13,Journey In Satchidananda,Alice Coltrane
14,"Lagrima - Live From The Queen Elizabeth Hall,United Kingdom/1976",Phil Manzanera
15,Gallows Tree (Gallows Pole),Odetta
16,Care,Kaada
17,Star Blanket River Child,Brightblack Morning Light
18,Evening Star,Robert Fripp
19,Pinball,Brian Protheroe
20,Planet Caravan,Moon Duo
21,Mr. Greives,TV On The Radio
22,What's Missing,Alabaster DePlume
23,Juggernaut,Stan Hubbs
24,"TNK (Tomorrow Never Knows) - Live From The Queen Elizabeth Hall,United Kingdom/1976",Phil Manzanera
25,"You Know, You Know - Remastered",Mahavishnu Orchestra
26,Tomorrow Never Knows,Junior Parker
27,Everything in Its Right Place,Brad Mehldau Trio
28,Anar,Mdou Moctar
29,Sweet Thang,Shuggie Otis
30,Bout des doigts,The Brian Jonestown Massacre
31,The Siren's Song,Kacy & Clayton
32,Can't Run But,Paul Simon
33,Galatea's Guitar - Remastered,Gábor Szabó
34,Space Lion,SEATBELTS
35,Song For Our Ancestors,Steve Miller Band
36,The Savage Bush Hotel,Felix Laband
37,Cristo Redentor - Remastered,Donald Byrd
38,Bonheur,Vieux Farka Touré
39,The Rainbow - 1997 Remaster,Talk Talk
40,Amir,Henri Texier
41,Sleepwalking Through the Mekong,Dengue Fever
42,Earthquake,This Is The Kit
43,Masenqo,Mulatu Astatke
44,Goodbye Pork Pie Hat - (with audience),Pentangle
45,Plain & Sane & Simple Melody,Ted Lucas
46,Deep Gap,Marisa Anderson
47,Then He Kissed Me,The Crystals
48,Safari Song,Greta Van Fleet
49,Laidu,Rokia Traoré
50,New Pastoral Life,Minami Deutsch
51,How Come That Blood,Sam Amidon
52,Ode To Billie Joe,Bobbie Gentry
53,I Walk Alone,Marijata
54,Alteleyeshegnem,Alemayehu Eshete
55,Okolona River Bottom Band,Bobbie Gentry
56,"Hey, Snow White",Destroyer
57,Hana,Asa-Chang & Junray
58,In the lassa,Juana Molina
59,Chuncho,Yma Sumac
60,Run On for a Long Time,Various Artists
61,Low,Chet Faker
